epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,130.488,0.55429,3.48614,1.18882,0.30935,0.36473,0.30743,0.28778,0.33485,2.05883,1.03426,0.0700843,0.00332397,0.00332397
2,191.934,0.37828,2.03856,1.01609,0.32099,0.48712,0.30426,0.2743,0.41812,2.49848,1.15123,0.0400513,0.00662435,0.00662435
3,248.55,0.41815,1.79904,1.03141,0.42569,0.48984,0.45723,0.41571,0.43133,1.86548,1.13059,0.00998536,0.00989173,0.00989173
4,305.301,0.39788,1.64538,1.01747,0.53493,0.53987,0.5333,0.49979,0.32911,1.56215,1.00586,0.0098515,0.0098515,0.0098515
5,360.578,0.36022,1.4786,0.99458,0.51197,0.54499,0.53905,0.51045,0.31365,1.60787,0.9773,0.009802,0.009802,0.009802
6,416.282,0.33575,1.34015,0.98183,0.68728,0.67991,0.75834,0.74003,0.22666,0.94135,0.88821,0.0097525,0.0097525,0.0097525
7,471.65,0.31691,1.24873,0.97155,0.66859,0.66987,0.7358,0.72298,0.25972,0.97224,0.90227,0.009703,0.009703,0.009703
8,528.24,0.30389,1.18601,0.967,0.76644,0.74322,0.82421,0.81225,0.20549,0.73217,0.87724,0.0096535,0.0096535,0.0096535
9,583.477,0.29331,1.12463,0.96222,0.80879,0.76993,0.85665,0.83848,0.19373,0.67746,0.85809,0.009604,0.009604,0.009604
10,638.046,0.28971,1.07278,0.95853,0.7827,0.74711,0.83373,0.8181,0.19178,0.77087,0.85624,0.0095545,0.0095545,0.0095545
11,693.827,0.27934,1.02518,0.95364,0.80708,0.76731,0.86381,0.84798,0.21249,0.68971,0.89164,0.009505,0.009505,0.009505
12,748.462,0.27145,0.99514,0.94939,0.83609,0.78932,0.88254,0.87593,0.18475,0.59958,0.83645,0.0094555,0.0094555,0.0094555
13,803.302,0.26354,0.97421,0.94968,0.8344,0.77,0.8759,0.86732,0.17011,0.61715,0.83008,0.009406,0.009406,0.009406
14,858.051,0.26213,0.9454,0.94585,0.8569,0.81379,0.89711,0.88062,0.19648,0.58139,0.85655,0.0093565,0.0093565,0.0093565
15,912.929,0.25452,0.90622,0.94243,0.87359,0.85076,0.92466,0.91719,0.18239,0.4705,0.83953,0.009307,0.009307,0.009307
16,967.675,0.25347,0.89539,0.93983,0.86158,0.74044,0.86824,0.86081,0.1738,0.65383,0.84129,0.0092575,0.0092575,0.0092575
17,1022.79,0.25122,0.87288,0.94347,0.87532,0.83703,0.92015,0.91538,0.18438,0.49302,0.84749,0.009208,0.009208,0.009208
